"Unable to remove banner image with id %1","Unable to remove banner image with id %1"
"Unable to remove cache with id %1","Unable to remove cache with id %1"
"Image Type","Image Type"
"Unable to remove carousel with id %1","Unable to remove carousel with id %1"
"Unable to remove carousel image with id %1","Unable to remove carousel image with id %1"
"Unable to remove categoryimages record with id %1","Unable to remove categoryimages record with id %1"
"2-D Model","2-D Model"
"3-D Model","3-D Model"
"Unable to remove featuredcategories record with id %1","Unable to remove featuredcategories record with id %1"
Others,Others
"Custom Collection","Custom Collection"
"Unable to remove notification record with id %1","Unable to remove notification record with id %1"
"Your order status changed to ","Your order status changed to "
"Order Status Changed!!","Order Status Changed!!"
"Order Placed Successfully!!","Order Placed Successfully!!"
"Your order status is ","Your order status is "
View,View
"All Store Views","All Store Views"
Edit,Edit
"Applicable only when ""Carousel Type"" is selected as ""Image Type""","Applicable only when ""Carousel Type"" is selected as ""Image Type"""
"Applicable only when ""Carousel Type"" is selected as ""Product Type""","Applicable only when ""Carousel Type"" is selected as ""Product Type"""
Delete,Delete
"Allowed file type: png, jpg, jpeg.","Allowed file type: png, jpg, jpeg."
"Add More","Add More"
"Works only when custom collection is selected as notification type.","Works only when custom collection is selected as notification type."
"Create Product Collection Based on","Create Product Collection Based on"
"Please choose a rule to add...","Please choose a rule to add..."
"Product Attribute Assigned","Product Attribute Assigned"
"Products ids","Products ids"
"Newly Added Products with count","Newly Added Products with count"
"Add multiple filter attributes to product collection","Add multiple filter attributes to product collection"
Add,Add
"Select or Enter Product ids (comma separated)","Select or Enter Product ids (comma separated)"
"Open Chooser","Open Chooser"
Apply,Apply
"Please enter the count of newly added products to display in collection","Please enter the count of newly added products to display in collection"
Remove,Remove
"Texture Image","Texture Image"
"Are you sure !","Are you sure !"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Ar model file for android must have sfb extension.","Ar model file for android must have sfb extension."
"Ar model file for android must have obj extension.","Ar model file for android must have obj extension."
"Ar 2D model file must have png extension.","Ar 2D model file must have png extension."
"Wrong file type given in category banner image.","Wrong file type given in category banner image."
"Wrong file type given in texture image.","Wrong file type given in texture image."
Webkul,Webkul
Mobikul,Mobikul
"Mobikul Basic Configuration","Mobikul Basic Configuration"
Username,Username
Password,Password
"Collection Page Size","Collection Page Size"
"Enable random featured product in home page?","Enable random featured product in home page?"
"Allowed CMS Pages","Allowed CMS Pages"
"Splash Screen image","Splash Screen image"
"FCM Push Notification Parameters","FCM Push Notification Parameters"
"API key","API key"
"Android Topic","Android Topic"
"iOS Topic","iOS Topic"
"Mobikul Catalog Search Configuration","Mobikul Catalog Search Configuration"
"Dispaly Tags in Search","Dispaly Tags in Search"
"Number of Tags to display in Search","Number of Tags to display in Search"
"Dispaly Products in Search","Dispaly Products in Search"
"Number of Products to display in Search","Number of Products to display in Search"
"Application Download from Website","Application Download from Website"
"Enable android application download","Enable android application download"
"Your application's, play store application link","Your application's, play store application link"
"Enable ios application download","Enable ios application download"
"Your application's, app store application link","Your application's, app store application link"
"Enable Top link","Enable Top link"
"Enable Bottom link","Enable Bottom link"
"Choose Download link theme","Choose Download link theme"
"Mobikul Api Cache Settings","Mobikul Api Cache Settings"
"Enable Cache","Enable Cache"
"Refresh cache rate","Refresh cache rate"
"Clear Cache","Clear Cache"
"Banner Information","Banner Information"
"Sort Order","Sort Order"
"Banner Type","Banner Type"
"Product/Category Id","Product/Category Id"
"Store View","Store View"
"Banner Status","Banner Status"
"Add Images","Add Images"
Disable,Disable
"Are you sure you wan't to disable selected records?","Are you sure you wan't to disable selected records?"
Enable,Enable
"Are you sure you wan't to enable selected records?","Are you sure you wan't to enable selected records?"
"Are you sure you wan't to delete selected records?","Are you sure you wan't to delete selected records?"
Image,Image
"Carousel Information","Carousel Information"
"Carousel Type","Carousel Type"
"Background Color code (hexadecimal)","Background Color code (hexadecimal)"
"Carousel Image Status","Carousel Image Status"
"Assign Carousel Images","Assign Carousel Images"
"Assign Carousel Products","Assign Carousel Products"
"Add Carousel","Add Carousel"
Type,Type
"Carousel Image Information","Carousel Image Information"
"Carousel Image Type","Carousel Image Type"
"Category Image Information","Category Image Information"
Categories,Categories
Banner,Banner
"Icon Image","Icon Image"
"Category Id","Category Id"
"Category Name","Category Name"
"Featured Category Information","Featured Category Information"
" Featured Category Information"," Featured Category Information"
" Featured Category Status"," Featured Category Status"
"Add Featured Category","Add Featured Category"
"Notification Information","Notification Information"
"Notification Title","Notification Title"
"Notification Content","Notification Content"
"Notification Type","Notification Type"
"Valid only in case of product and category","Valid only in case of product and category"
"Notification Status","Notification Status"
"Custom Collection Notfication","Custom Collection Notfication"
"Add Notification","Add Notification"
Push,Push
"Confirm Push Notification","Confirm Push Notification"
"Are you sure you want to send push notifications?","Are you sure you want to send push notifications?"
Created,Created
Modified,Modified
"Order Id","Order Id"
"Customer Name","Customer Name"
"Store Id","Store Id"
"Grand Total","Grand Total"
"Created At","Created At"
